author;key;affiliation;university_homepage
A. L. Narasimha Reddy;conf/icde/ReddyB87|journals/tc/ReddyB89|journals/tpds/ReddyB90|journals/computer/ReddyW94|conf/icmcs/Reddy95|conf/mm/ReddyW93|conf/icdcs/ChandyR93;Athenaeum of Ohio;http://www.mtsm.org/
A. L. Wilkinson;journals/sigops/WilkinsonACHMVWW81;Universidad Nacional del Nordeste;http://www.unne.edu.ar/
A. L. Wong;conf/focs/BernLW85;Jones College;http://www.jones.edu/
A. Lee;conf/vldb/TsichritzisCEFLLVW83;Tokyo University of Agriculture and Technology;http://www.tuat.ac.jp/
A. M. Awong;conf/er/NavatheA87;Panteios University of Economics and Political Sciences Athens;http://www.panteion.gr/
A. M. Gilbert;conf/vldb/ChamberlinGY81;Massey University;http://www.massey.ac.nz/
A. M. Glorieux;conf/er/EsculierG79|conf/ddb/LitwinBEFGCKMRS82;California Institute of Integral Studies;http://www.ciis.edu/
A. M. J. Lane;conf/ssdbm/LaneP98;California Institute of Integral Studies;http://www.ciis.edu/
A. M. Langer;journals/cacm/LangerS82;Gifu University for Education and Languages;http://www.gifu-kyoiku.ac.jp/
A. M. Pegna;journals/ita/LeviP83;Fachhochschule Düsseldorf;http://www.fh-duesseldorf.de/
A. M. R. Smith;journals/cj/SmithLH83;University of Texas at Brownsville;http://www.utb.edu/
A. Mahanti;journals/jacm/MahantiB85;Islamic Azad University, Najaf Abad;http://www.iaun.ac.ir/
A. Mahboob;conf/sigmod/AgrawalCFGHIIMMSS94;Fachhochschule JOANNEUM;http://www.fh-joanneum.at/
A. Malpani;journals/cj/AgrawalM91;Zaporizhzhe National University;http://www.znu.edu.ua/
A. Mecchia;conf/pods/SaccaMM84|journals/debu/SaccaDMPGN87;Bard College;http://www.bard.edu/
A. Metaxides;conf/ds/Metaxides75;University of Pittsburgh at Bradford;http://www.upb.pitt.edu/
A. Michael;conf/pods/FischerM82;Perm State Pharmaceutical Academy;http://www.psfa.ru/
A. Min Tjoa;conf/icde/SchreflTW84|conf/dexaw/KirkgozeKST97;University of Texas at Brownsville;http://www.utb.edu/
A. Miyagawa;conf/icde/MiyagawaITN84;Lumbini Buddhist University;http://www.lbu.edu.np/
A. Moon;conf/icde/BelfordLCCEGHKKLMMSYZRL84;Fachhochschulstudiengänge Wels;http://www.fh-wels.at/
A. Mounir Alaoui;conf/ijcai/GhallabA89;Indian Institute of Technology, Guwahati;http://www.iitg.ernet.in/
A. Mustaro;conf/icdt/AsirelliIM88;Dai Ichi University, College of Technology;http://www.daiichi-koudai.ac.jp/
A. N. Bogacheva;conf/adbis/BogachevaER95|conf/adbis/BogachevaE94;Halmstad University College;http://www.hh.se/
A. N. Staylopatis;conf/mfdbs/VegaPS91;Schiller International University, Paris;http://www.schillerparis.com/
A. N. W. Dahanayake;conf/er/DahanayakeSD97;Wuhan University;http://www.whu.edu.cn/
A. Neil Arnason;conf/ssdbm/ScuseA83;Kamrah International Institute of Technology (KIIT);http://www.kiit.in/
A. Nico Habermann;journals/cacm/HabermannFC76|conf/oopsla/LernerH90;St. Petersburg State Technical University;http://www.unilib.neva.ru/
A. O. Slisenko;conf/mfcs/Slisenko78;Czech Technical University of Prague;http://www.cvut.cz/
A. P. G. Brown;conf/ds/Brown75;University of Ghana;http://www.ug.edu.gh/
A. P. M. Coxon;conf/pkdd/ScottCHW97;Western Michigan University;http://www.wmich.edu/
A. P. Manolas;conf/icde/BelfordLCCEGHKKLMMSYZRL84;Dayalbagh Educational Institute;http://www.dei.ac.in/
A. P. Romanov;conf/adbis/BogachevaER95;Halmstad University College;http://www.hh.se/
A. Pan;journals/siamcomp/SpiraP75;University of Central Texas;http://www.vvm.com/uct/
A. Pathria;journals/tois/ChristodoulakisTHPP86;University of Agriculture Makurdi;http://www.uam.edu.ng/
A. Perko;journals/spe/Perko85;Universidade Federal Rural do Rio de Janeiro;http://www.ufrrj.br/
A. Prasad Sistla;journals/tkde/SistlaW95|journals/tods/SistlaWYS98|journals/debu/SistlaW92|conf/icde/SistlaWCD97|conf/icde/LiuSYR98|conf/icde/SistlaYV97|conf/sigmod/WolfsonSXZC99|conf/sigmod/SistlaW95|conf/sigmod/HuangSW94|conf/vldb/SistlaYLL95|conf/vldb/SistlaYH94|conf/icdt/WolfsonJSCRD99|journals/dpd/WolfsonSCY99|journals/sigmod/WolfsonSDNR95|journals/jacm/SistlaC85|journals/toplas/ClarkeES86|conf/ride/SistlaWDNR96|conf/podc/Sistla85|conf/ngits/WolfsonSXZCYR99|conf/focs/WolperVS83;Gifu University for Education and Languages;http://www.gifu-kyoiku.ac.jp/
A. Quarati;conf/ride/BertinoQ92;Jinnah University for Women;http://www.juw.edu.pk/
A. R. Bender;conf/icde/BlahaPBSKH90;Universidad Albert Einstein;http://www.uae.edu.sv/
A. Ramfos;conf/coopis/RamfosFFS95|conf/bncod/RamfosFG91;Chongqing University of Communications;http://www.cquc.edu.cn/
A. Rao;conf/tdb/CliffordR87;Quantum-Veritas International University;http://www.qvius.edu/
A. Rashid B. M. Shariff;journals/tois/EgenhoferS98;Chung-Ang University;http://www.cau.ac.kr/
A. Ravichandran;journals/tc/KantR90;Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló;http://www.barcelo.edu.ar/
A. Ravishankar Rao;journals/expert/RaoJ88;Chongqing University of Communications;http://www.cquc.edu.cn/
A. Reiter;journals/spe/GudesR73;Kanazawa University;http://www.kanazawa-u.ac.jp/
A. Richard Helm;conf/dood/Helm89|conf/slp/Helm89;Athenaeum of Ohio;http://www.mtsm.org/
A. Robert Calderbank;journals/jacm/CalderbankCF88|journals/jacm/CalderbankCF84;Moscow Power Engineering Institute (Technical University);http://www.mpei.ac.ru/
A. Roger Kaye;journals/tois/KayeK87;Symbiosis International University;http://www.siu.edu.in/
A. S. Balaian;conf/adbis/Balaian94;University of Adelaide;http://www.adelaide.edu.au/
A. S. M. Sajeev;conf/pos/HurstS89;Schiller International University, Paris;http://www.schillerparis.com/
A. Sebastio;conf/ssdbm/FortunatoRRS86;Augustana University College;http://www.augustana.ab.ca/
A. Sengupta;journals/mms/HiltonJS94;Czech Technical University of Prague;http://www.cvut.cz/
A. Söder;conf/btw/PaulSSW87;Dalhousie University;http://www.dal.ca/
A. T. Kutanov;conf/adbis/YouditchkyKK94;Long Island University, Southampton College;http://www.southampton.liunet.edu/
A. Takano;conf/icse/SunoharaTUO81;Evangel University;http://www.evangel.edu/
A. Tiems;conf/vl/StaesTT91;Chung-Ang University;http://www.cau.ac.kr/
A. Timothy Maness;conf/sigmod/DintelmanM82|conf/ssdbm/ManessD83|conf/ssdbm/ManessD81|journals/debu/HeilerM84;Moody Bible Institute;http://www.moody.edu/
A. Tjahjana;conf/dexa/OzsoyogluDTHR91;Al-Yamamah College;http://www.alyamamah.edu.sa/
A. Traupe;conf/adl/NikolaiTK98;Belarussian State Technological University;http://www.bstu.unibel.by/
A. V. Gavrilov;conf/adbis/Gavrilov94;Fachhochschule JOANNEUM;http://www.fh-joanneum.at/
A. V. Morozova;conf/adbis/Morozova94;Coker College;http://www.coker.edu/
A. Van der Mude;journals/iandc/MudeW78;Dalhousie University;http://www.dal.ca/
A. Vashishta;conf/dasfaa/ShahFGRV93|journals/cj/DeenNV81;Universidad Nacional del Nordeste;http://www.unne.edu.ar/
A. W. Roscoe;journals/jacm/BrookesHR84|conf/rex/SchneiderDJRRR91;Kanazawa University;http://www.kanazawa-u.ac.jp/
A. Wong;journals/tods/SaltonW78|journals/cacm/SaltonWY75;Osaka University;http://www.osaka-u.ac.jp/
A. Y. Lu;conf/icde/LuS91;University of Wisconsin - Stout;http://www.uwstout.edu/
A. Yahia;conf/er/YahiaLCB96|conf/dexa/YahiaLC96;Johannes-Gutenberg Universität Mainz;http://www.uni-mainz.de/
A. Z. Lieberman;conf/er/Lieberman79;Johannes-Gutenberg Universität Mainz;http://www.uni-mainz.de/
A. Zandi;conf/dcc/ZandiIL93;Chung-Ang University;http://www.cau.ac.kr/
A. Zeroual;journals/isci/LitwinAZN89;Kobe Jogakuin University;http://www.kobe-c.ac.jp/
Aamir Rasheed;conf/adc/RasheedZ96;Birla Institute of Technology, Ranchi;http://bitmesraranchi.org/
Aamod Sane;conf/ecoopw/SinghaiSC97;Schiller International University, Paris;http://www.schillerparis.com/
Aarno Lehtola;conf/dasfaa/HyotyniemiL91;British Columbia Institute of Technology;http://www.bcit.ca/
Aaron M. Tenenbaum;conf/sigmod/ArnowT84|journals/siamcomp/TenenbaumN82;American University in Dubai;http://www.aud.edu/
Aaron Marcus;journals/computer/MarcusD91;Trakia University Stara Zagora;http://www.uni-sz.bg/
Aaron Watters;conf/sigmod/Watters93|conf/pods/BunemanDW88|journals/jcss/BunemanDW91;Université Gaston Berger Saint-Louis;http://www.ugb.sn/
Aashu Virmani;conf/adbis/ImielinskiV98|conf/kdd/ImielinskiVA96;Siam Technology College;http://www.siamtechu.net/
Abad A. Shah;conf/dasfaa/ShahFGRV93;Universidade Estadual de Campinas;http://www.unicamp.br/
Abbas Rafii;journals/computer/AhmedSDKKLRS91;Universidad Agroforestal Fernando A.Meriño;http://www.uafam.edu.do/
Abbe Mowshowitz;journals/ac/Mowshowitz86;Jinnah University for Women;http://www.juw.edu.pk/
Abby Goodrum;conf/sigir/SpinkGRW96;Universität Fridericana Karlsruhe (Technische Hochschule);http://www.uni-karlsruhe.de/
Abdallah A. Abdel-Ghaly;journals/tse/Abdel-GhalyCL86;British College of Osteopathic Medicine;http://www.bcom.ac.uk/
Abdallah M. Alashqur;conf/icde/AlashqurSL90|conf/vldb/AlashqurSL89;Dayalbagh Educational Institute;http://www.dei.ac.in/
Abdel Aziz Farrag;journals/tods/FarragO89|journals/tse/FarragO87;Bundelkhand University;http://www.bundelkhanduniversity.org/
Abdelaziz Abdellatif;journals/isci/LitwinAZN89|journals/computer/LitwinA86;Lampang Vocational College   ;http://www.lampangvc.ac.th/
Abdelkader Hameurlain;conf/cikm/HameurlainM95|conf/dexa/HameurlainMC92|conf/dexa/HameurlainM94;East Somalia University;http://www.eastsomaliauniversity.com/
Abdelmoula El-Hamdouchi;journals/cj/El-HamdouchiW89;Saybrook Institute;http://www.saybrook.org/
Abdelsalam Heddaya;journals/ins/HeddayaHW89|journals/tse/SpectorBDDEFHS85;Ibaraki Prefectural University of Health Sciences;http://www.ipu.ac.jp/
Abdelsalam Helal;journals/tods/LiuHD98|conf/icde/ElmagarmidH88|conf/icde/HelalSB89|conf/sigmod/BohrerBBCFHKKMNRRSUUW97a|conf/sigmod/BohrerBBCFHKKMNRRSUUW97|journals/mms/JiangHEJ98|journals/sigmod/DunhamH95a|journals/csur/JingHE99|journals/monet/DunhamHB97|journals/monet/JingEHA97;Florida Christian College;http://www.fcc.edu/
Abderrahmane Aggoun;conf/fgcs/DincbasHSAGB88;Universidade Vale do Rio Doce;http://www.univale.br/
Abdul Hai;journals/ijmms/HaiK85;Universidade Estadual de Maringá;http://www.uem.br/
Abdul Sattar 0001;conf/icde/SattarG91;Jones College;http://www.jones.edu/
Abdulla Bataineh;journals/ipl/BatainehOS91;Universidad Autónoma de Nuevo León;http://www.uanl.mx/
Abdullah Uz Tansel;journals/tkde/Tansel97|journals/tkde/TanselT97|journals/tods/TanselG92|conf/icde/Tansel87|conf/sigmod/CliffordT85|conf/sigmod/TanselG89|conf/cikm/GoralwallaTO95|journals/is/Tansel86|journals/isci/Tansel91|journals/tse/TanselAO89|conf/ddb/OzkarahanTS82|conf/dagstuhl/JensenDBCEGGHJKKLMMNPPRSSSSSTTW97|conf/dagstuhl/TanselT97|conf/ssdbm/TanselA86|conf/ssdbm/TanselA86a;Jishou University;http://www.jsu.edu.cn/
Abe Lockman;journals/tse/LockmanM82;Fachhochschulstudiengänge Wels;http://www.fh-wels.at/
Abel Weinrib;conf/sigmod/HermanGLW87|journals/cacm/BowenGHHLMRW92;Czech Technical University of Prague;http://www.cvut.cz/
Abhai Johri;journals/tse/GligorCCDHJJLV87;Universidade Metodista de Piracicaba;http://www.unimep.br/
Abhay Mehta;conf/kdd/ClearDHHLMMRSWX99;Tokyo University of Agriculture and Technology;http://www.tuat.ac.jp/
Abhaya Asthana;conf/cikm/SoparkarKJA95|conf/iwdm/AsthanaJK89|conf/asplos/AhujaA82;Athenaeum of Ohio;http://www.mtsm.org/
Abhijit Chaudhary;journals/tkde/LinCWM93;Iran University of Medical Sciences;http://www.iums.ac.ir/
Abhijit Sahay;conf/ppopp/CullerKPSSSSE93;Sree Rama Krishna Degree College;http://www.srkdc.org/
Abhijit Sengupta;conf/dpds/BandyopadhyayS88;Heisei International University;http://www.hiu.ac.jp/
Abhirup Chatterjee;conf/icde/ZhaoSC95|conf/ssdbm/SegevC94|journals/sigmod/ChatterjeeS91|conf/ssdbm/ChatterjeeS92;Baltimore International College;http://www.bic.edu/
Abigail Sellen;conf/chi/OHaraS97;Zaporizhzhe National University;http://www.znu.edu.ua/
Abraham Bernstein;journals/sigmod/BernsteinDK99|journals/debu/BernsteinDMQ95;Sonoda Women's University;http://www.sonoda-u.ac.jp/
Abraham Bookstein;journals/ipm/BooksteinKZ92|conf/sigir/BooksteinK91|conf/sigir/LoseeBY86|conf/sigir/Bookstein86;Les Roches Gruyère University of Applied Sciences;http://www.lrguas.ch/
Abraham Kandel;journals/ac/KandelS89|journals/ins/Zemankova85;Schiller International University, Paris;http://www.schillerparis.com/
Abraham Lempel;journals/cacm/EvenGL85|journals/csur/Lempel79|journals/tit/ZivL77|journals/tit/ZivL78;Florida Christian College;http://www.fcc.edu/
Abraham Silberschatz;journals/tkde/GangulyST95|journals/tkde/SilberschatzT96|journals/tkde/LevyS92|journals/tkde/SoparkarKS95|journals/tods/RothKS88|journals/tods/MehrotraRKS98|journals/vldb/RoySSSA98|journals/vldb/BreitbartGS92|journals/vldb/BreitbartST92|journals/vldb/MehrotraKS97|journals/vldb/GarofalakisOS98|journals/csur/SilberschatzZ96|journals/csur/SilberschatzKS96|journals/csur/OzdenRS95|journals/debu/RastogiMKS93|journals/debu/OzdenRS95|conf/icde/OzdenRS97|conf/icde/GangulyKS91|conf/icde/OzdenRS98|conf/icde/HsuS91|conf/icde/HillyerRS99|conf/icde/ChaudhuriADRSW97|conf/icde/BohannonRSSS99|conf/dasfaa/MehrotraRBKS93|conf/sigmod/BreitbartKRSS99|conf/sigmod/MehrotraRBKS92|conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99|conf/sigmod/KedemS81|conf/sigmod/HillyerS96|conf/sigmod/WolfsonS88|conf/sigmod/BreitbartST90|conf/sigmod/GangulyGMS96|conf/sigmod/LevyKS91|conf/sigmod/OzdenRSS96|conf/sigmod/BreitbartS88|conf/sigmod/GangulyST90|conf/vldb/ReadFS92|conf/vldb/JagadishLRSS94|conf/vldb/RamakrishnanS85|conf/vldb/GarofalakisOS97|conf/vldb/AshwinRSSS97|conf/vldb/KorthSS90|conf/vldb/BuckleyS83|conf/vldb/KedemMS82|conf/vldb/RamaswamyMS98|conf/vldb/BaulierBKS98|conf/vldb/KedemS80|conf/vldb/JagadishSS93|conf/vldb/OzdenBRS94|conf/vldb/FaloutsosMS96|conf/vldb/FussellKS81|conf/vldb/KorthLS90|conf/vldb/BohannonLRSSS97|conf/pods/RastogiMBKS93|conf/pods/GarofalakisIOS98|conf/pods/OzdenRS97|conf/pods/SoparkarS90|conf/pods/BuckleyS84|conf/pods/MehrotraRBKS92|conf/pods/MohanFS82|conf/pods/KiferRS88|conf/pods/RastogiKS93|conf/pods/GangulyGS96|conf/pods/RamakrishnanBS87|conf/pods/JagadishMS95|journals/acta/KedemS81|journals/acta/RothKS89|journals/mms/OzdenRS96|journals/dpd/RastogiBPSSS98|journals/sigmod/SilberschatzZ97|journals/sigmod/SilberschatzSU96|journals/sigmod/SilberschatzSU90|journals/sigmod/DrewKMRS93|journals/spe/KimKS88|journals/mta/BohannonLRSSS97|journals/cacm/SilberschatzSU91|journals/is/OzdenBRS95|journals/iandc/MohanFS84|journals/csur/LevyS90|journals/jacm/SilberschatzK80|journals/jacm/KedemS83|journals/jacm/BuckleyS85|journals/debu/BreitbartST87|journals/ibmsj/AttaluriBCLMSSZ95|journals/cj/BuckleyS84|journals/tse/SilberschatzK82|journals/tse/BreitbartGRS91|journals/tse/Silberschatz83a|journals/tse/MohanFKS85|journals/computer/SoparkarKS91|journals/jlp/WolfsonS91|conf/ride/BreitbartS92|conf/ride/MehrotraRKS92|conf/ride/GarofalakisOS98|conf/sigmetrics/HillyerS96|conf/podc/Silberschatz82|conf/podc/LevyKS91|conf/pdis/MehrotraRKS91|conf/pdis/BohannonPRSSS96|conf/focs/KedemS79|conf/kdd/SilberschatzT95|conf/icmcs/OzdenRSM95|conf/icmcs/OzdenRS96a|conf/icmcs/OzdenRS95|conf/icdcs/MehrotraRKS92|conf/icdcs/RastogiKS95;Halmstad University College;http://www.hh.se/
Achim Blumensath;conf/lics/BlumensathG00;Baltimore International College;http://www.bic.edu/
Achim Jung;journals/tcs/BunemanJO91;Ecole Nationale Supérieure du Pétrole et des Monteurs;http://www.ifp.fr/EC/EC000GP1.html
Achim Kraiss;journals/vldb/KraissW98|journals/debu/WeikumKK99|conf/icde/KraissMG99|conf/vldb/MoserKK95|conf/vldb/KraissW97|conf/edbt/GillmannWWK00|conf/edbt/MuthKW96;COMSATS Institute of Information Technology, Lahore;http://www.ciitlahore.edu.pk/
Achim Pick;journals/vldb/MuthOPW00|conf/vldb/MuthOPW98;University of Leeds;http://www.leeds.ac.uk/
Achim Ulbrich-vom Ende;conf/dolap/BoehnleinE99;Fachhochschule St. Gallen;https://www.fhsg.ch/
Ada Wai-Chee Fu;journals/tkde/CheungNFF96|journals/sigmod/KuokFW98|journals/sigmod/CheungF98|conf/icde/ChanF99|conf/vldb/FuC94|conf/pods/FuK89|conf/pdis/CheungHNFF96|conf/ismis/CheungFH94|conf/kdd/HwangF95|conf/kdd/ChengFZ99;Chiang Mai Vocational College;http://www.cmvc.ac.th/
Adam Bosworth;conf/icde/GrayBLP96|conf/sigmod/Carey00|journals/datamine/GrayCBLRVPP97;Lincoln University Pennsylvania;http://www.lincoln.edu/
Adam Farquhar;conf/aaai/ChaudhriFFKR98|conf/krdb/StarrCFW98;California Institute of Integral Studies;http://www.ciis.edu/
Adam Finkelstein;journals/tkde/AmadorBBDFNNSSSSWW93;Handelshochschule Leipzig;http://www.hhl.de/
Adam J. Grove;conf/cp/BacchusG95|conf/stoc/GroveHK92;Grodno State University Yanka Kupaly;http://www.grsu.by/
Adam L. Buchsbaum;journals/amai/BuchsbaumKV91|conf/soda/BuchsbaumKV90;Harding University Graduate School of Religion;http://www.hugsr.edu/
Adam Rifkin;journals/internet/KhareR97;Université Rennes II - Haute-Bretagne;http://www.uhb.fr/
Adam Sah;journals/vldb/StonebrakerALPSSSY96|conf/icde/SidellASSSY96|conf/pdis/StonebrakerDKLPSS94;Jishou University;http://www.jsu.edu.cn/
Adam Seiver;conf/ijcai/Hayes-RothWHHS89;Universidade Vale do Rio Doce;http://www.univale.br/
Adam Stoller;conf/usenix/BorensteinERS88;Al-Yamamah College;http://www.alyamamah.edu.sa/
Adarsh K. Arora;conf/er/CarlsonA83|conf/er/PahwaA85|conf/er/DavisA85|conf/er/CarlsonJA89|conf/er/DavisA87|conf/vldb/AroraC78|journals/cj/AroraC84|journals/cj/CarlsonAC82|journals/tse/CarlsonA85;Tashkent Medical Academy;http://www.tma.uz/
Adegbemiga Ola;conf/icde/Ole92|conf/vldb/OlaO89|conf/ssdbm/OzsoyogluHO90;University of Medicine and Pharmacy of Targu Mures;http://www.umftgm.ro/
Adegbeniga Ola;journals/tkde/OlaO93;Sibelius Academy;http://www.siba.fi/
Adel Shrufi;journals/vldb/MylopoulosCPST96|conf/edbt/BonnerSR96|conf/cikm/ShrufiT95|conf/cikm/Shrufi94;Handelshochschule Leipzig;http://www.hhl.de/
Adele E. Howe;journals/tkde/Howe95|journals/aim/CohenGHH89|journals/aim/HoweD97|journals/tois/DreilingerH97|conf/aaai/HoweC91|conf/aaai/Howe92;Persian Gulf University;http://www.pgu.ac.ir/
Adelheit Stein;journals/ipm/SitterS92;Panteios University of Economics and Political Sciences Athens;http://www.panteion.gr/
Adi Raveh;journals/jiis/ShapiraHRS97;Azerbaijan State Economic University;http://www.aseu.az/
Adi Shamir;journals/cacm/Shamir79|journals/cacm/RivestSA78|journals/iandc/RivestS82|journals/siamcomp/EvenIS76|conf/crypto/Shamir84;Tohoku Institute of Technology;http://www.tohtech.ac.jp
Adil Daruwala;conf/ds/DaruwalaGHHMS95;Sonoda Women's University;http://www.sonoda-u.ac.jp/
Adil Faisal;conf/widm/FaisalSMB99;Meio University;http://www.meio-u.ac.jp/
Aditya N. Saharia;journals/tkde/DiehrS94|journals/tkde/DeyBS98|journals/tods/MendelsonS86;Fachhochschulstudiengänge Wels;http://www.fh-wels.at/
Adnan H. Yahya;journals/jar/YahyaH85;University of Dallas;http://www.udallas.edu/
Adolfo Socorro;conf/edbt/StempleFSS90|conf/oodbs/StempleSS88;Lyon College;http://www.lyon.edu/
Adolph D'Cunha;conf/er/DCunhaR83;Kyoritsu Woman's University;http://www.kyoritsu-wu.ac.jp/
Adriaan van Wijngaarden;journals/acta/WijngaardenMPKSLMF75;Plymouth State College;http://www.plymouth.edu/
Adrian O'Riordan;conf/cikm/ORiordanS95;Universidade Federal do Rio de Janeiro;http://www.ufrj.br/
